"Sr. No.","Work category","WORK","State","IDA","Hon'ble Members of Parliament","Constituency","Work description","Recommended date","RECOMMENDED AMOUNT   ( ₹ )","Sanction Date"
"2247","Normal/Others","WS/MP334/2024-2025/139905-Street lights","Jharkhand","BOKARO(DEPUTY COMMISSIONER BOKARO_IDA)","Shri Chandra Prakash Choudhary","GIRIDIH","installation of solar street light near mansa mandir bhagath in darid","09-Sep-2024","22000","07-Oct-2024"
"2248","Normal/Others","WS/MP334/2024-2025/139906-Street lights","Jharkhand","BOKARO(DEPUTY COMMISSIONER BOKARO_IDA)","Shri Chandra Prakash Choudhary","GIRIDIH","installation of solar street light near shed in manjhi tola in lukaiya of darid panchayat","09-Sep-2024","22000","07-Oct-2024"
"2249","Normal/Others","WS/MP334/2024-2025/139907-Street lights","Jharkhand","BOKARO(DEPUTY COMMISSIONER BOKARO_IDA)","Shri Chandra Prakash Choudhary","GIRIDIH","installation of solar street light near bajrangbali mandir of pathak tola in lukaiya of darid","09-Sep-2024","22000","07-Oct-2024"
"2250","Normal/Others","WS/MP334/2024-2025/139908-Street lights","Jharkhand","BOKARO(DEPUTY COMMISSIONER BOKARO_IDA)","Shri Chandra Prakash Choudhary","GIRIDIH","installation of solar street light near mansa mandir turi tola in lukuiya in darid panchayat.","09-Sep-2024","22000","07-Oct-2024"
"2251","Normal/Others","WS/MP334/2024-2025/139909-Street lights","Jharkhand","BOKARO(DEPUTY COMMISSIONER BOKARO_IDA)","Shri Chandra Prakash Choudhary","GIRIDIH","installation of solar street light near birsa munda chowk in lukuiya in darid panchayat.","09-Sep-2024","22000","07-Oct-2024"
"2252","Normal/Others","WS/MP334/2024-2025/139910-Street lights","Jharkhand","BOKARO(DEPUTY COMMISSIONER BOKARO_IDA)","Shri Chandra Prakash Choudhary","GIRIDIH","installation of solar street light near chandramohan das guru house in satichira in darid panchayat","09-Sep-2024","22000","07-Oct-2024"
"2253","Normal/Others","WS/MP334/2024-2025/139911-Street lights","Jharkhand","BOKARO(DEPUTY COMMISSIONER BOKARO_IDA)","Shri Chandra Prakash Choudhary","GIRIDIH","installation of solar street light near peepal ped darid.","09-Sep-2024","22000","07-Oct-2024"
"2254","Normal/Others","WS/MP334/2024-2025/139912-Street lights","Jharkhand","BOKARO(DEPUTY COMMISSIONER BOKARO_IDA)","Shri Chandra Prakash Choudhary","GIRIDIH","installation of solar street light near shivalay in darid.","09-Sep-2024","22000","07-Oct-2024"
"2255","Normal/Others","WS/MP334/2024-2025/139913-Street lights","Jharkhand","BOKARO(DEPUTY COMMISSIONER BOKARO_IDA)","Shri Chandra Prakash Choudhary","GIRIDIH","installation of solar street light near durga mandir darid","09-Sep-2024","22000","07-Oct-2024"
"2256","Normal/Others","WS/MP334/2024-2025/139914-Street lights","Jharkhand","BOKARO(DEPUTY COMMISSIONER BOKARO_IDA)","Shri Chandra Prakash Choudhary","GIRIDIH","installation of solar street light near bajrangbali mandir in khuthara in darid.","09-Sep-2024","22000","07-Oct-2024"
"2257","Normal/Others","WS/MP334/2024-2025/139915-Street lights","Jharkhand","BOKARO(DEPUTY COMMISSIONER BOKARO_IDA)","Shri Chandra Prakash Choudhary","GIRIDIH","installation of solar street light near bajrang bali mandir rajak tola in darid panchayat.","09-Sep-2024","22000","07-Oct-2024"
"2258","Normal/Others","WS/MP334/2024-2025/139916-Street lights","Jharkhand","BOKARO(DEPUTY COMMISSIONER BOKARO_IDA)","Shri Chandra Prakash Choudhary","GIRIDIH","installation of solar street light near saraswati sthan in jarakamaar in darid panchayat","09-Sep-2024","22000","07-Oct-2024"
"2259","Normal/Others","WS/MP334/2024-2025/139917-Street lights","Jharkhand","BOKARO(DEPUTY COMMISSIONER BOKARO_IDA)","Shri Chandra Prakash Choudhary","GIRIDIH","installation of solar street light near bajrangbali mandir in puspuniya kojaram in darid","09-Sep-2024","22000","07-Oct-2024"
"2260","Normal/Others","WS/MP334/2024-2025/139918-Street lights","Jharkhand","BOKARO(DEPUTY COMMISSIONER BOKARO_IDA)","Shri Chandra Prakash Choudhary","GIRIDIH","installation of solar street light near baba hadam chowk bhagath kojram in darid","09-Sep-2024","22000","07-Oct-2024"
"2261","Normal/Others","WS/MP334/2024-2025/139919-Street lights","Jharkhand","BOKARO(DEPUTY COMMISSIONER BOKARO_IDA)","Shri Chandra Prakash Choudhary","GIRIDIH","installation of solar street light near bajrangbali mandir charakh pakhna in darid","09-Sep-2024","22000","07-Oct-2024"
"2262","Normal/Others","WS/MP334/2024-2025/139920-Street lights","Jharkhand","BOKARO(DEPUTY COMMISSIONER BOKARO_IDA)","Shri Chandra Prakash Choudhary","GIRIDIH","installation of solar street light near mansa mandir harijan tola in utasara","09-Sep-2024","22000","07-Oct-2024"
"2263","Normal/Others","WS/MP334/2024-2025/139921-Street lights","Jharkhand","BOKARO(DEPUTY COMMISSIONER BOKARO_IDA)","Shri Chandra Prakash Choudhary","GIRIDIH","installation of solar street light near kali mandir nichetola utasara","09-Sep-2024","22000","07-Oct-2024"
"2264","Normal/Others","WS/MP334/2024-2025/139922-Street lights","Jharkhand","BOKARO(DEPUTY COMMISSIONER BOKARO_IDA)","Shri Chandra Prakash Choudhary","GIRIDIH","installation of solar street light near banga dumarkanari durga mandap in utasara","09-Sep-2024","22000","07-Oct-2024"
"2265","Normal/Others","WS/MP334/2024-2025/139923-Street lights","Jharkhand","BOKARO(DEPUTY COMMISSIONER BOKARO_IDA)","Shri Chandra Prakash Choudhary","GIRIDIH","installation of solar street light near shiv mandir kamaar tola in banga of utasara.","09-Sep-2024","22000","07-Oct-2024"
"2266","Normal/Others","WS/MP334/2024-2025/139924-Street lights","Jharkhand","BOKARO(DEPUTY COMMISSIONER BOKARO_IDA)","Shri Chandra Prakash Choudhary","GIRIDIH","installation of solar street light near shiv mandir ambadih in utasara","09-Sep-2024","22000","07-Oct-2024"
"2267","Normal/Others","WS/MP334/2024-2025/139925-Street lights","Jharkhand","BOKARO(DEPUTY COMMISSIONER BOKARO_IDA)","Shri Chandra Prakash Choudhary","GIRIDIH","installation of solar street light near thakurtola mansa mandir in ambadih in utasara","09-Sep-2024","22000","07-Oct-2024"
"2268","Normal/Others","WS/MP334/2024-2025/139926-Street lights","Jharkhand","BOKARO(DEPUTY COMMISSIONER BOKARO_IDA)","Shri Chandra Prakash Choudhary","GIRIDIH","installation of solar street light near shiv mandir barso groha in utasara","09-Sep-2024","22000","07-Oct-2024"
"2269","Normal/Others","WS/MP334/2024-2025/139928-Street lights","Jharkhand","BOKARO(DEPUTY COMMISSIONER BOKARO_IDA)","Shri Chandra Prakash Choudhary","GIRIDIH","installation of solar street light near rajak tola mansa mandir","09-Sep-2024","22000","07-Oct-2024"
"2270","Normal/Others","WS/MP334/2024-2025/139929-Street lights","Jharkhand","BOKARO(DEPUTY COMMISSIONER BOKARO_IDA)","Shri Chandra Prakash Choudhary","GIRIDIH","installation of solar street light near gurujwa durga mandir in petarbar","09-Sep-2024","22000","07-Oct-2024"
"2271","Normal/Others","WS/MP334/2024-2025/139930-Street lights","Jharkhand","BOKARO(DEPUTY COMMISSIONER BOKARO_IDA)","Shri Chandra Prakash Choudhary","GIRIDIH","installation of solar street light near gurujwa banjrang bali mandir in petarbar","09-Sep-2024","22000","07-Oct-2024"
