"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Constituency","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"7879","Gujarat","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18324/2025-2026/256580","AMRELI(DISTRICT COLLECTOR AMRELI_IDA)","BHARATBHAI MANUBHAI SUTARIYA","AMRELI","20-May-2026","MITHAPUR NAKKI","Payment Success","300000"
"7880","Madhya Pradesh","Construction of boundary walls of existing public and community buildings","WS/MP638/2026-2027/236615","CHHATARPUR(District Collector Chhatarpur_IDA)","Virendra Kumar","TIKAMGARH(SC)","13-May-2026","GRAM PANCHAYAT BRAJPURA","Payment Success","180000"
"7881","Kerala","Purchase of vans and buses for educational institutions","WS/MP351/2025-2026/236465","KANNUR(DISTRICT COLLECTOR KANNUR_IDA)","Shri Kumbakudi Sudhakaran","KANNUR","08-May-2026","HEADMISTRESS ALAVIL NORTH LP SCHOOL","Payment Success","51564"
"7882","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18170/2025-2026/223398","SIKAR(DISTRICT COLLECTOR SIKAR_IDA)","AMRARAM","SIKAR","08-May-2026","SHRI BALAJI S F CONSTRUCTION COMPANY","Payment Success","346226"
"7883","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18170/2025-2026/223400","SIKAR(DISTRICT COLLECTOR SIKAR_IDA)","AMRARAM","SIKAR","08-May-2026","SHRI BALAJI S F CONSTRUCTION COMPANY","Payment Success","298713"
"7884","Maharashtra","Construction of toilet blocks","WS/MP18131/2025-2026/206367","RATNAGIRI(District Collector Ratnagiri_IDA)","NARAYAN TATU RANE","RATNAGIRI-SINDHUDURG","04-May-2026","siddhesh sadanand vibhute","Payment Success","150000"
"7885","Maharashtra","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18131/2025-2026/206361","RATNAGIRI(District Collector Ratnagiri_IDA)","NARAYAN TATU RANE","RATNAGIRI-SINDHUDURG","04-May-2026","shramjivi majur sahakari sanstha maryadit raipatan","Payment Success","500000"
"7886","Chhattisgarh","Construction of community centers and community halls","WS/MP18049/2026-2027/265760","BILASPUR(DISTRICT COLLECTOR BILASPUR_IDA)","TOKHAN SAHU","BILASPUR","25-May-2026","GRAM PANCHAYAT TIKARI","Payment Success","250000"
"7887","Uttar Pradesh","Construction of rooms and halls in school and colleges","WS/MP792/2026-2027/225856","HARDOI(DISTRICT MAGISTRATE HARDOI_IDA)","Jai Prakash","HARDOI (SC)","14-May-2026","PAL TRADING COMPANY","Payment Success","124088"
"7888","Madhya Pradesh","Construction of additional rooms and halls in the existing public and community building","WS/MP18104/2025-2026/174649","Narsimhapur(DISTRICT COLLECTOR NARSINGHPUR_IDA)","DARSHAN SINGH CHOUDHARY","HOSHANGABAD","06-May-2026","GUPTA IRON STORES","Payment Success","120000"
"7889","Uttar Pradesh","Construction of rooms and halls in school and colleges","WS/MP792/2026-2027/225856","HARDOI(DISTRICT MAGISTRATE HARDOI_IDA)","Jai Prakash","HARDOI (SC)","14-May-2026","BASANT LAL SATENDRA KUMAR","Payment Success","203374"
"7890","Uttar Pradesh","Construction of rooms and halls in school and colleges","WS/MP792/2026-2027/225856","HARDOI(DISTRICT MAGISTRATE HARDOI_IDA)","Jai Prakash","HARDOI (SC)","14-May-2026","NEW BANSAL SUPAR STEEL","Payment Success","273323"
"7891","Madhya Pradesh","Construction of culverts and bridges","WS/MP654/2026-2027/275492","ANUPPUR(DISTRICT COLLECTOR ANUPPUR_IDA)","Smt Himadri Singh","SHAHDOL (ST)","22-May-2026","GP TARADAND","Payment Success","750000"
"7892","Rajasthan","Construction of boundary walls of existing public and community buildings","WS/MP18164/2025-2026/257525","HANUMANGARH(DISTRICT COLLECTOR HANUMANGARH_IDA)","KULDEEP INDORA","GANGANAGAR(SC)","22-Aug-2026","CHOUDHARY TILES","Payment Success","51279"
"7893","Rajasthan","Construction of boundary walls of existing public and community buildings","WS/MP18164/2025-2026/257525","HANUMANGARH(DISTRICT COLLECTOR HANUMANGARH_IDA)","KULDEEP INDORA","GANGANAGAR(SC)","21-May-2026","CHOUDHARY TILES","Payment Success","300332"
"7894","Madhya Pradesh","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP638/2026-2027/237400","TIKAMGARH(DISTRICT COLLECTOR TIKAMGARH_IDA)","Virendra Kumar","TIKAMGARH(SC)","11-May-2026","Gram Panchayat Gudanwara","Payment Success","103820"
"7895","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP490/2025-2026/241162","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri Narendra Modi","VARANASI","26-May-2026","VINDHYAVASHINI CONSTRUCTION COMPANY","Payment Success","260308"
"7896","Telangana","Construction of community centers and community halls","WS/MP18187/2025-2026/219999","Nirmal(DISTRICT COLLECTOR NIRMAL_3)","GODAM NAGESH","ADILABAD(ST)","05-May-2026","Patike Rajendar","Payment Success","500000"
"7897","Telangana","Installing tube-wells and borewells","WS/MP18187/2025-2026/220004","Nirmal(DISTRICT COLLECTOR NIRMAL_3)","GODAM NAGESH","ADILABAD(ST)","05-May-2026","Siram Sushma","Payment Success","97367"
"7898","Telangana","Installing tube-wells and borewells","WS/MP18187/2025-2026/220006","Nirmal(DISTRICT COLLECTOR NIRMAL_3)","GODAM NAGESH","ADILABAD(ST)","05-May-2026","Siram Sushma","Payment Success","96117"
"7899","Maharashtra","Street lights","WS/MP18127/2026-2027/274225","NASHIK(DISTRICT COLLECTOR NASHIK_IDA)","RAJABHAU","NASHIK","04-Jul-2026","R PRAKASH ELECTRICAL AND ENGINEERS NASIK","Payment Success","989844"
"7900","Telangana","Installing tube-wells and borewells","WS/MP18193/2026-2027/196295","MEDCHAL MALKAJGIRI(DISTRICT COLLECTOR MEDCHAL MALKAJGIRI_IDA)","EATALA RAJENDER","MALKAJGIRI","01-May-2026","BACHHALI NARSIMHULU","Payment Success","262903"
"7901","Uttar Pradesh","Improvement of electricity distribution infrastructure","WS/MP18208/2026-2027/270852","BASTI(DISTRICT MAGISTRATE BASTI_IDA)","RAM PRASAD CHAUDHARY","BASTI","24-Jun-2026","EXECUTIVE ENGINEER ELECTRICITY DD GRAMIN BASTI","Payment Success","187100"
"7902","Gujarat","Purchase of hospital equipment","WS/MP585/2025-2026/239127","Ahmedabad(DISTRICT COLLECTOR AHMADABAD_IDA)","Hasmukh Bhai Soma Bhai Patel","AHMEDABAD EAST","27-May-2026","MEHTA SURGICAL","Payment Success","4997000"
"7903","Tamil Nadu","Construction of Government office buildings (Post office, Police station, Police chauki, etc.)","WS/MP18176/2025-2026/254228","DINDIGUL(DISTRICT COLLECTOR DINDIGUL_IDA)","SACHITHANANTHAM R","DINDIGUL","19-May-2026","SARAVANA ENGINEERING AND INFRATECH PRIVATE LIMITED","Payment Success","2998062"
"7904","Chhattisgarh","Purchase of mobile water tankers","WS/MP18048/2025-2026/197158","BASTAR(DISTRICT COLLECTOR BASTAR_IDA)","MAHESH KASHYAP","BASTAR(ST)","15-May-2026","GRAM PANCHAYT BHAINSGAON","Payment Success","175000"
"7905","Chhattisgarh","Purchase of mobile water tankers","WS/MP18048/2025-2026/197157","BASTAR(DISTRICT COLLECTOR BASTAR_IDA)","MAHESH KASHYAP","BASTAR(ST)","11-May-2026","GRAM PANCHAYT KARMARI","Payment Success","175000"
"7906","Chhattisgarh","Purchase of mobile water tankers","WS/MP18048/2025-2026/197155","BASTAR(DISTRICT COLLECTOR BASTAR_IDA)","MAHESH KASHYAP","BASTAR(ST)","11-May-2026","GRAM PANCHAYT BHOND","Payment Success","175000"
"7907","Chhattisgarh","Purchase of mobile water tankers","WS/MP18048/2025-2026/195666","BASTAR(DISTRICT COLLECTOR BASTAR_IDA)","MAHESH KASHYAP","BASTAR(ST)","07-May-2026","GRAM PANCHAYT MUNDAPAL","Payment Success","175000"
"7908","Chhattisgarh","Purchase of mobile water tankers","WS/MP18048/2025-2026/197154","BASTAR(DISTRICT COLLECTOR BASTAR_IDA)","MAHESH KASHYAP","BASTAR(ST)","11-May-2026","GRAM PANCHAYT ICHHAPUR","Payment Success","175000"
"7909","Chhattisgarh","Purchase of mobile water tankers","WS/MP18048/2025-2026/197153","BASTAR(DISTRICT COLLECTOR BASTAR_IDA)","MAHESH KASHYAP","BASTAR(ST)","07-May-2026","GRAM PANCHAYT BAGMOHALI","Payment Success","175000"
"7910","Andhra Pradesh","Improvement of electricity distribution infrastructure","WS/MP18018/2025-2026/204877","VIZIANAGARAM(DISTRICT COLLECTOR VIZIANAGARAM_IDA)","Appalanaidu Kalisetti","VIZIANAGARAM","13-May-2026","KINJARAPU SRINIVASARAO","Payment Success","663999"
"7911","Uttar Pradesh","Lighting of public spaces","WS/MP18215/2025-2026/248883","AYODHYA(DISTRICT MAGISTRAE FAIZABAD_IDA)","AWADHESH PRASAD","FAIZABAD","19-Aug-2026","VIDYA SINGH","Payment Success","61353"
"7912","Uttar Pradesh","Lighting of public spaces","WS/MP18215/2025-2026/248881","AYODHYA(DISTRICT MAGISTRAE FAIZABAD_IDA)","AWADHESH PRASAD","FAIZABAD","19-Aug-2026","VIDYA SINGH","Payment Success","61353"
"7913","Uttar Pradesh","Lighting of public spaces","WS/MP18215/2025-2026/248880","AYODHYA(DISTRICT MAGISTRAE FAIZABAD_IDA)","AWADHESH PRASAD","FAIZABAD","19-Aug-2026","VIDYA SINGH","Payment Success","61353"
"7914","Uttar Pradesh","Lighting of public spaces","WS/MP18215/2025-2026/248879","AYODHYA(DISTRICT MAGISTRAE FAIZABAD_IDA)","AWADHESH PRASAD","FAIZABAD","19-Aug-2026","VIDYA SINGH","Payment Success","61353"
"7915","Uttar Pradesh","Lighting of public spaces","WS/MP18215/2025-2026/248878","AYODHYA(DISTRICT MAGISTRAE FAIZABAD_IDA)","AWADHESH PRASAD","FAIZABAD","19-Aug-2026","VIDYA SINGH","Payment Success","61353"
"7916","Uttar Pradesh","Lighting of public spaces","WS/MP18215/2025-2026/248877","AYODHYA(DISTRICT MAGISTRAE FAIZABAD_IDA)","AWADHESH PRASAD","FAIZABAD","19-Aug-2026","VIDYA SINGH","Payment Success","61353"
"7917","Uttar Pradesh","Lighting of public spaces","WS/MP18215/2025-2026/248876","AYODHYA(DISTRICT MAGISTRAE FAIZABAD_IDA)","AWADHESH PRASAD","FAIZABAD","19-Aug-2026","VIDYA SINGH","Payment Success","61353"
"7918","Uttar Pradesh","Lighting of public spaces","WS/MP18215/2025-2026/248875","AYODHYA(DISTRICT MAGISTRAE FAIZABAD_IDA)","AWADHESH PRASAD","FAIZABAD","19-Aug-2026","VIDYA SINGH","Payment Success","61353"
"7919","Uttar Pradesh","Lighting of public spaces","WS/MP18215/2025-2026/248870","AYODHYA(DISTRICT MAGISTRAE FAIZABAD_IDA)","AWADHESH PRASAD","FAIZABAD","19-Aug-2026","VIDYA SINGH","Payment Success","61353"
"7920","Uttar Pradesh","Lighting of public spaces","WS/MP18215/2025-2026/248871","AYODHYA(DISTRICT MAGISTRAE FAIZABAD_IDA)","AWADHESH PRASAD","FAIZABAD","19-Aug-2026","VIDYA SINGH","Payment Success","61353"
"7921","Uttar Pradesh","Lighting of public spaces","WS/MP18215/2025-2026/248869","AYODHYA(DISTRICT MAGISTRAE FAIZABAD_IDA)","AWADHESH PRASAD","FAIZABAD","19-Aug-2026","VIDYA SINGH","Payment Success","61353"
"7922","Uttar Pradesh","Lighting of public spaces","WS/MP18215/2025-2026/248868","AYODHYA(DISTRICT MAGISTRAE FAIZABAD_IDA)","AWADHESH PRASAD","FAIZABAD","19-Aug-2026","VIDYA SINGH","Payment Success","61353"
"7923","Uttar Pradesh","Lighting of public spaces","WS/MP18215/2025-2026/248881","AYODHYA(DISTRICT MAGISTRAE FAIZABAD_IDA)","AWADHESH PRASAD","FAIZABAD","27-May-2026","VIDYA SINGH","Payment Success","183246"
"7924","Uttar Pradesh","Lighting of public spaces","WS/MP18215/2025-2026/248880","AYODHYA(DISTRICT MAGISTRAE FAIZABAD_IDA)","AWADHESH PRASAD","FAIZABAD","27-May-2026","VIDYA SINGH","Payment Success","183358"
"7925","Uttar Pradesh","Lighting of public spaces","WS/MP18215/2025-2026/247879","AYODHYA(DISTRICT MAGISTRAE FAIZABAD_IDA)","AWADHESH PRASAD","FAIZABAD","27-May-2026","VIDYA SINGH","Payment Success","183246"
"7926","Uttar Pradesh","Lighting of public spaces","WS/MP18215/2025-2026/248860","AYODHYA(DISTRICT MAGISTRAE FAIZABAD_IDA)","AWADHESH PRASAD","FAIZABAD","27-May-2026","VIDYA SINGH","Payment Success","182896"
"7927","Uttar Pradesh","Lighting of public spaces","WS/MP18215/2025-2026/247876","AYODHYA(DISTRICT MAGISTRAE FAIZABAD_IDA)","AWADHESH PRASAD","FAIZABAD","27-May-2026","VIDYA SINGH","Payment Success","183246"
"7928","Uttar Pradesh","Lighting of public spaces","WS/MP18215/2025-2026/247875","AYODHYA(DISTRICT MAGISTRAE FAIZABAD_IDA)","AWADHESH PRASAD","FAIZABAD","27-May-2026","VIDYA SINGH","Payment Success","183246"
"7929","Uttar Pradesh","Lighting of public spaces","WS/MP18215/2025-2026/248874","AYODHYA(DISTRICT MAGISTRAE FAIZABAD_IDA)","AWADHESH PRASAD","FAIZABAD","27-May-2026","VIDYA SINGH","Payment Success","182897"
"7930","Uttar Pradesh","Lighting of public spaces","WS/MP18215/2025-2026/247877","AYODHYA(DISTRICT MAGISTRAE FAIZABAD_IDA)","AWADHESH PRASAD","FAIZABAD","27-May-2026","VIDYA SINGH","Payment Success","183246"
"7931","Uttar Pradesh","Lighting of public spaces","WS/MP18215/2025-2026/248853","AYODHYA(DISTRICT MAGISTRAE FAIZABAD_IDA)","AWADHESH PRASAD","FAIZABAD","27-May-2026","VIDYA SINGH","Payment Success","183246"
"7932","Uttar Pradesh","Lighting of public spaces","WS/MP18215/2025-2026/248852","AYODHYA(DISTRICT MAGISTRAE FAIZABAD_IDA)","AWADHESH PRASAD","FAIZABAD","27-May-2026","VIDYA SINGH","Payment Success","183246"
"7933","Uttar Pradesh","Lighting of public spaces","WS/MP18215/2025-2026/248480","AYODHYA(DISTRICT MAGISTRAE FAIZABAD_IDA)","AWADHESH PRASAD","FAIZABAD","27-May-2026","VIDYA SINGH","Payment Success","183246"
"7934","Uttar Pradesh","Lighting of public spaces","WS/MP18215/2025-2026/248861","AYODHYA(DISTRICT MAGISTRAE FAIZABAD_IDA)","AWADHESH PRASAD","FAIZABAD","27-May-2026","VIDYA SINGH","Payment Success","182896"
"7935","Uttar Pradesh","Lighting of public spaces","WS/MP18215/2025-2026/248859","AYODHYA(DISTRICT MAGISTRAE FAIZABAD_IDA)","AWADHESH PRASAD","FAIZABAD","27-May-2026","VIDYA SINGH","Payment Success","183246"
"7936","Uttar Pradesh","Lighting of public spaces","WS/MP18215/2025-2026/248858","AYODHYA(DISTRICT MAGISTRAE FAIZABAD_IDA)","AWADHESH PRASAD","FAIZABAD","27-May-2026","VIDYA SINGH","Payment Success","183246"
"7937","Uttar Pradesh","Lighting of public spaces","WS/MP18215/2025-2026/248857","AYODHYA(DISTRICT MAGISTRAE FAIZABAD_IDA)","AWADHESH PRASAD","FAIZABAD","27-May-2026","VIDYA SINGH","Payment Success","183246"
"7938","Uttar Pradesh","Lighting of public spaces","WS/MP18215/2025-2026/248856","AYODHYA(DISTRICT MAGISTRAE FAIZABAD_IDA)","AWADHESH PRASAD","FAIZABAD","27-May-2026","VIDYA SINGH","Payment Success","183246"
"7939","Uttar Pradesh","Lighting of public spaces","WS/MP18215/2025-2026/248855","AYODHYA(DISTRICT MAGISTRAE FAIZABAD_IDA)","AWADHESH PRASAD","FAIZABAD","27-May-2026","VIDYA SINGH","Payment Success","183246"
"7940","Uttar Pradesh","Lighting of public spaces","WS/MP18215/2025-2026/248877","AYODHYA(DISTRICT MAGISTRAE FAIZABAD_IDA)","AWADHESH PRASAD","FAIZABAD","27-May-2026","VIDYA SINGH","Payment Success","183009"
"7941","Uttar Pradesh","Lighting of public spaces","WS/MP18215/2025-2026/248868","AYODHYA(DISTRICT MAGISTRAE FAIZABAD_IDA)","AWADHESH PRASAD","FAIZABAD","27-May-2026","VIDYA SINGH","Payment Success","182897"
"7942","Uttar Pradesh","Lighting of public spaces","WS/MP18215/2025-2026/248866","AYODHYA(DISTRICT MAGISTRAE FAIZABAD_IDA)","AWADHESH PRASAD","FAIZABAD","27-May-2026","VIDYA SINGH","Payment Success","183594"
"7943","Uttar Pradesh","Lighting of public spaces","WS/MP18215/2025-2026/248865","AYODHYA(DISTRICT MAGISTRAE FAIZABAD_IDA)","AWADHESH PRASAD","FAIZABAD","27-May-2026","VIDYA SINGH","Payment Success","183595"
"7944","Uttar Pradesh","Lighting of public spaces","WS/MP18215/2025-2026/248864","AYODHYA(DISTRICT MAGISTRAE FAIZABAD_IDA)","AWADHESH PRASAD","FAIZABAD","27-May-2026","VIDYA SINGH","Payment Success","182897"
"7945","Uttar Pradesh","Lighting of public spaces","WS/MP18215/2025-2026/248863","AYODHYA(DISTRICT MAGISTRAE FAIZABAD_IDA)","AWADHESH PRASAD","FAIZABAD","27-May-2026","VIDYA SINGH","Payment Success","182897"
"7946","Uttar Pradesh","Lighting of public spaces","WS/MP18215/2025-2026/248862","AYODHYA(DISTRICT MAGISTRAE FAIZABAD_IDA)","AWADHESH PRASAD","FAIZABAD","27-May-2026","VIDYA SINGH","Payment Success","182897"
"7947","Uttar Pradesh","Lighting of public spaces","WS/MP18215/2025-2026/248873","AYODHYA(DISTRICT MAGISTRAE FAIZABAD_IDA)","AWADHESH PRASAD","FAIZABAD","27-May-2026","VIDYA SINGH","Payment Success","182897"
"7948","Uttar Pradesh","Lighting of public spaces","WS/MP18215/2025-2026/248872","AYODHYA(DISTRICT MAGISTRAE FAIZABAD_IDA)","AWADHESH PRASAD","FAIZABAD","27-May-2026","VIDYA SINGH","Payment Success","183594"
"7949","Uttar Pradesh","Lighting of public spaces","WS/MP18215/2025-2026/248871","AYODHYA(DISTRICT MAGISTRAE FAIZABAD_IDA)","AWADHESH PRASAD","FAIZABAD","27-May-2026","VIDYA SINGH","Payment Success","182896"
"7950","Uttar Pradesh","Lighting of public spaces","WS/MP18215/2025-2026/248870","AYODHYA(DISTRICT MAGISTRAE FAIZABAD_IDA)","AWADHESH PRASAD","FAIZABAD","27-May-2026","VIDYA SINGH","Payment Success","182897"
"7951","Uttar Pradesh","Lighting of public spaces","WS/MP18215/2025-2026/248869","AYODHYA(DISTRICT MAGISTRAE FAIZABAD_IDA)","AWADHESH PRASAD","FAIZABAD","27-May-2026","VIDYA SINGH","Payment Success","182897"
"7952","Uttar Pradesh","Lighting of public spaces","WS/MP18215/2025-2026/248876","AYODHYA(DISTRICT MAGISTRAE FAIZABAD_IDA)","AWADHESH PRASAD","FAIZABAD","27-May-2026","VIDYA SINGH","Payment Success","183009"
"7953","Uttar Pradesh","Lighting of public spaces","WS/MP18215/2025-2026/248875","AYODHYA(DISTRICT MAGISTRAE FAIZABAD_IDA)","AWADHESH PRASAD","FAIZABAD","27-May-2026","VIDYA SINGH","Payment Success","183595"
"7954","Uttar Pradesh","Lighting of public spaces","WS/MP18215/2025-2026/248867","AYODHYA(DISTRICT MAGISTRAE FAIZABAD_IDA)","AWADHESH PRASAD","FAIZABAD","27-May-2026","VIDYA SINGH","Payment Success","183594"
"7955","Uttar Pradesh","Lighting of public spaces","WS/MP18215/2025-2026/248883","AYODHYA(DISTRICT MAGISTRAE FAIZABAD_IDA)","AWADHESH PRASAD","FAIZABAD","27-May-2026","VIDYA SINGH","Payment Success","183246"
"7956","Uttar Pradesh","Lighting of public spaces","WS/MP18215/2025-2026/248879","AYODHYA(DISTRICT MAGISTRAE FAIZABAD_IDA)","AWADHESH PRASAD","FAIZABAD","27-May-2026","VIDYA SINGH","Payment Success","183358"
"7957","Uttar Pradesh","Lighting of public spaces","WS/MP18215/2025-2026/248878","AYODHYA(DISTRICT MAGISTRAE FAIZABAD_IDA)","AWADHESH PRASAD","FAIZABAD","27-May-2026","VIDYA SINGH","Payment Success","183246"
"7958","Punjab","Construction of additional rooms and halls in the existing public and community building","WS/MP18314/2025-2026/219462","BARNALA(DEPUTY COMMISSIONER BARNALA_IDA)","GURMEET SINGH MEET HAYER","SANGRUR","23-May-2026","Satnam singh","Payment Success","8000"
"7959","Punjab","Construction of additional rooms and halls in the existing public and community building","WS/MP18314/2025-2026/219462","BARNALA(DEPUTY COMMISSIONER BARNALA_IDA)","GURMEET SINGH MEET HAYER","SANGRUR","23-May-2026","Satnam singh","Payment Success","21130"
"7960","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18215/2025-2026/226610","AYODHYA(DISTRICT MAGISTRAE FAIZABAD_IDA)","AWADHESH PRASAD","FAIZABAD","16-Jul-2026","VIDHYA SINGH","Payment Success","406856"
"7961","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18215/2025-2026/226610","AYODHYA(DISTRICT MAGISTRAE FAIZABAD_IDA)","AWADHESH PRASAD","FAIZABAD","25-Jun-2026","VIDHYA SINGH","Payment Success","1211635"
"7962","Rajasthan","Development of playground","WS/MP728/2025-2026/255744","CHURU(DISTRICT COLLECTOR CHURU_IDA)","Rahul Kaswan","CHURU","12-Jul-2026","vikash construction  and suppliers","Payment Success","948137"
"7963","West Bengal","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18257/2025-2026/192432","Purba Medinipur(DISTRICT MAGISTRATE PURBA MEDINIPUR_IDA)","ABHIJIT GANGOPADHYAY","TAMLUK","14-Jun-2026","SRIKRISHNA ENTERPRISE","Payment Success","488025"
